;fecha;texto;retweets;favoritos;hashtags;menciones;localizacion;origen;topic
10;2021-07-07 20:47:36;في حفظ الرحمن يا بلادي انفجار  #جبل_علي   #Dubai  jebel ali  اللهم إنا نستودعك #دبي https://t.co/HSf1kOiA9A;177;1203;['جبل_علي', 'Dubai', 'دبي'];[];;Twitter for iPhone;Dubai
11;2021-07-07 22:02:11;"#سلاما_دبي 

بردا وسلاما على #الامارات 🇸🇦🇦🇪 
خطاك السوء يا دار زايد 
ولاباس على أشقائنا و أحبابنا في الإمارات العرب… https://t.co/gUcWevK0iz";227;258;['سلاما_دبي', 'الامارات'];[];المملكة العربية السعودية;Twitter for iPhone;Dubai
12;2021-07-07 20:43:51;"BREAKING: A fire broke out on a container ship in Dubai’s main port, according to Dubai’s Media Office.

Witnesses… https://t.co/cZLYG9YBDC";69;124;[];[];;Twitter Web App;Dubai
13;2021-07-07 20:16:36;#BREAKING Loud explosion heard in Dubai https://t.co/5VpVKQOamB;233;330;['BREAKING'];[];France;TweetDeck;Dubai
14;2021-07-08 09:09:09;"Geographical Indications (GI) certified Madurai Malli and other flowers exported to USA &amp; Dubai from Tamil Nadu… https://t.co/9bxTuN8JH6";171;769;[];[];New Delhi;Twitter Web App;Dubai
1;2021-07-07 18:45:40;Secretario de Economía de Vicente Fox es denunciado por lavado de dinero y robo. https://t.co/YIdKTTjxfs;1251;1966;[];[];Mexico, ME;Hootsuite Inc.;Robo
2;2021-07-07 21:13:05;Vaya robo a favor de Inglaterra.  Piscinazo de Sterling sonrojante. Eurocopa manchada.;1080;10851;[];[];Madrid, España;Twitter for Android;Robo
3;2021-07-07 16:30:19;"Se llama robo de vacunas, no hay épica ni relato que lo justifique! 

https://t.co/mynMGznA6c";702;1366;[];[];;Twitter for iPhone;Robo
4;2021-07-08 00:20:13;Hasta el momento se reporta 1 hombre muerto en la entrada del Peaje de la Cota 905, presenta múltiples heridas de b… https://t.co/GtTCbCYMli;681;381;[];[];Caracas, Venezuela;Twitter for Android;Robo
5;2021-07-07 01:07:16;Les comparto algunos ejemplos de cómo ha disminuido la inseguridad en la Ciudad desde que llegamos al gobierno hast… https://t.co/umn8umCBFR;1197;3685;[];[];Ciudad de México;Twitter for iPhone;Robo
6;2021-07-07 19:13:54;"Otro refrán 

“Justo es que pierda lo suyo quien robó lo tuyo”

Y usted nos robó a los mexicanos la concordia… https://t.co/J5zI4SsHfR";290;835;[];[];México;Twitter for iPhone;Robo
7;2021-07-07 12:12:29;"¡Ay, dios! Dicen que el portero argentino fue antidesleal. Que dizque el ""árbitro nos robó"". Los que calentamos el… https://t.co/cykOlyTXiv";582;4155;[];[];Bogotá, Colombia;TweetDeck;Robo
8;2021-07-07 18:04:33;El Secretario de Economía durante el sexenio de Fox, Luis Ernesto Derbez, actual rector de la UDLAP, enfrenta denun… https://t.co/pwiRVVwXCB;1224;1762;[];[];Mexico;Twitter Web App;Robo
9;2021-07-08 03:45:00;El robo del siglo https://t.co/pweI7g7YK7;364;1713;[];[];;Twitter Media Studio;Robo
10;2021-07-07 18:09:30;"Ladrón común: ""Allí hay una cámara. Mejor robo más allacito"".
Congresista: ""jajaja mira todas esas cámaras, hay que… https://t.co/wkMgLLl6aZ";531;3126;[];[];Yiwu, China;Twitter Web App;Robo
11;2021-07-07 21:44:12;"Melyssa, tras el robo de Olga, que no puede evitar llorar a lágrima viva: ""No quiero dañarla, pero no me sale volve… https://t.co/cfwEbzOPlo";202;1751;[];[];Mediaset España;TweetDeck;Robo
12;2021-07-07 23:14:28;"Es evidente que el consejo ""prohibido"" que pudo darle Carlos a Tom ha surtido efecto. Brusse ha filtrado a Melyssa… https://t.co/nDOtEPhaXw";414;1836;[];[];Spain;Twitter for Android;Robo
13;2021-07-07 21:24:19;"Inglaterra ganando un partido clave con un robo de los árbitros.

55 años después, con todo y VAR, el fútbol no cambia.";262;1743;[];[];New England, US;Twitter for Android;Robo
14;2021-07-06 22:45:53;Argentina es un país solidario, inmenso, generoso y espectacular pero con un gobierno que en la peor pandemia de la… https://t.co/4ZD40DJlBj;391;913;[];[];;Twitter for iPhone;Robo
15;2021-07-07 22:01:00;Un hombre llenaba el depósito de su coche con gasolina cuando fue víctima de un intento de robo. Sin embargo, consi… https://t.co/QMTBbuiBFr;222;808;[];[];;Twitter Media Studio;Robo
1;2021-07-08 00:07:09;Pdte. @NicolasMaduro ha designado como Jefe del Estado Mayor de la Comandancia Estratégica Operacional al Mayor Gen… https://t.co/IG2hKvfpZW;324;234;[];['NicolasMaduro'];Caracas, Venezuela;Twitter Web App;felix
2;2021-07-07 19:07:35;"The semi-final line-up is complete.

Italy’s @MattBerrettini will face Hubert Hurkacz for a place in the #Wimbledon… https://t.co/gjmMUod5ni";293;1212;['Wimbledon'];['MattBerrettini'];Wimbledon, London;Grabyo;felix
